iter	Passed	Remaining
260	738	2069
261	741	2065
262	744	2062
263	746	2058
264	749	2057
265	752	2054
266	755	2051
267	758	2048
268	760	2044
269	764	2043
270	767	2040
271	769	2037
272	772	2034
273	774	2030
274	777	2026
275	780	2025
276	783	2023
277	786	2019
278	788	2016
279	791	2013
280	795	2013
281	798	2010
282	801	2007
283	804	2004
284	806	2000
285	809	1998
286	812	1995
287	815	1992
288	817	1988
289	820	1985
290	822	1982
291	826	1980
292	829	1977
293	831	1974
294	834	1972
295	837	1970
296	841	1968
297	844	1965
298	847	1963
299	849	1960
300	852	1957
301	855	1954
302	858	1952
303	861	1949
304	863	1945
305	866	1942
306	869	1939
307	872	1936
308	875	1934
309	877	1931
310	880	1928
311	883	1925
312	886	1922
313	889	1919
314	892	1917
315	895	1915
316	897	1912
317	900	1908
318	903	1906
319	906	1904
320	909	1901
321	912	1899
322	915	1895
323	918	1893
324	921	1891
325	924	1889
326	928	1887
327	930	1884
328	933	1880
329	936	1878
330	938	1874
331	941	1872
332	944	1869
333	947	1866
334	950	1863
335	953	1860
336	955	1857
337	958	1854
338	961	1851
339	963	1848
340	966	1845
341	969	1842
342	972	1839
343	974	1836
344	977	1832
345	979	1829
346	983	1828
347	986	1824
348	988	1821
349	991	1818
350	993	1814
351	996	1811
352	999	1808
353	1002	1806
354	1004	1802
355	1007	1799
356	1009	1796
357	1012	1793
358	1015	1790
359	1018	1787
360	1020	1784
361	1023	1780
362	1026	1778
363	1029	1776
364	1032	1773
365	1034	1770
366	1037	1766
367	1040	1763
368	1042	1760
369	1045	1758
370	1048	1754
371	1051	1751
372	1053	1748
373	1057	1746
374	1060	1744
375	1063	1741
376	1065	1738
377	1068	1735
378	1071	1732
379	1074	1730
380	1077	1727
381	1079	1724
382	1082	1721
383	1085	1718
384	1087	1715
385	1091	1713
386	1094	1710
387	1096	1707
388	1099	1704
389	1102	1701
390	1105	1698
391	1108	1696
392	1111	1693
393	1114	1691
394	1117	1688
395	1119	1685
396	1123	1683
397	1125	1680
398	1128	1677
399	1131	1674
400	1134	1671
401	1137	1668
402	1140	1666
403	1142	1663
404	1145	1660
405	1148	1657
406	1150	1654
407	1154	1651
408	1157	1649
409	1159	1646
410	1162	1642
411	1164	1639
412	1167	1637
413	1170	1634
414	1173	1631
415	1176	1628
416	1178	1625
417	1181	1622
418	1184	1619
419	1187	1616
420	1190	1615
421	1193	1612
422	1195	1608
423	1198	1605
424	1201	1603
425	1204	1600
426	1207	1597
427	1209	1594
428	1212	1591
429	1215	1588
430	1218	1585
431	1221	1582
432	1223	1579
433	1226	1576
434	1229	1573
435	1232	1571
436	1235	1568
437	1237	1565
438	1240	1562
439	1243	1559
440	1245	1556
441	1248	1553
442	1251	1550
443	1254	1547
444	1256	1545
445	1259	1542
446	1262	1539
447	1266	1537
448	1268	1534
449	1271	1531
450	1274	1528
451	1277	1526
452	1280	1523
453	1283	1520
454	1285	1517
455	1288	1514
456	1291	1511
457	1294	1508
458	1296	1505
459	1299	1503
460	1302	1500
461	1305	1497
462	1307	1494
463	1310	1491
464	1313	1488
465	1315	1485
466	1318	1482
467	1321	1479
468	1325	1477
469	1327	1474
470	1330	1472
471	1333	1468
472	1335	1465
473	1338	1463
474	1341	1460
475	1344	1457
476	1347	1454
477	1350	1452
478	1353	1449
479	1356	1446
480	1358	1443
481	1361	1440
482	1364	1437
483	1366	1434
484	1369	1431
485	1372	1428
486	1374	1425
487	1377	1422
488	1380	1419
489	1383	1416
490	1385	1414
491	1388	1411
492	1391	1408
493	1395	1406
494	1399	1404
495	1402	1402
496	1406	1400
497	1409	1398
498	1412	1395
499	1415	1392
500	1417	1389
501	1420	1386
502	1423	1383
503	1425	1380
504	1428	1377
505	1431	1374
506	1434	1372
507	1437	1369
508	1440	1366
509	1443	1364
510	1446	1361
511	1449	1358
512	1452	1356
513	1455	1353
514	1457	1350
515	1460	1347
516	1462	1344
517	1465	1341
518	1468	1338
519	1471	1335
520	1474	1333
521	1477	1330
522	1480	1327
523	1482	1324
524	1485	1321
525	1488	1318
526	1491	1315
527	1493	1312
528	1496	1310
529	1499	1307
530	1502	1304
531	1505	1301
532	1507	1298
533	1510	1295
534	1513	1293
535	1516	1290
536	1519	1287
537	1521	1284
538	1524	1281
539	1527	1278
540	1530	1275
541	1533	1273
542	1536	1270
543	1538	1267
544	1541	1264
545	1544	1261
546	1547	1258
547	1549	1255
548	1552	1252
549	1555	1249
550	1558	1247
551	1560	1244
552	1563	1241
553	1566	1238
554	1569	1235
555	1571	1232
556	1574	1229
557	1577	1227
558	1580	1224
559	1583	1221
560	1586	1218
561	1589	1216
562	1592	1213
563	1595	1210
564	1598	1207
565	1600	1204
566	1603	1201
567	1606	1199
568	1609	1196
569	1611	1193
570	1614	1190
571	1617	1187
572	1620	1184
573	1623	1182
574	1626	1179
575	1629	1176
576	1631	1173
577	1634	1170
578	1637	1168
579	1640	1165
580	1643	1162
581	1645	1159
582	1648	1156
583	1651	1153
584	1654	1150
585	1656	1147
586	1659	1144
587	1662	1142
588	1664	1138
589	1667	1136
590	1669	1133
591	1672	1130
592	1675	1127
593	1677	1124
594	1680	1121
595	1683	1118
596	1686	1115
597	1688	1112
598	1691	1109
599	1694	1106
600	1696	1103
601	1700	1101
602	1702	1098
603	1705	1095
604	1707	1092
605	1710	1089
606	1713	1086
607	1716	1084
608	1719	1081
609	1721	1078
610	1724	1075
611	1726	1072
612	1729	1069
613	1732	1066
614	1735	1063
615	1738	1060
616	1740	1057
617	1743	1055
618	1746	1052
619	1749	1049
620	1752	1046
621	1755	1043
622	1757	1041
623	1760	1038
624	1763	1035
625	1766	1032
626	1768	1029
627	1771	1026
628	1774	1024
629	1777	1021
630	1780	1018
631	1783	1015
632	1786	1013
633	1789	1010
634	1791	1007
635	1794	1004
636	1797	1001
637	1800	998
638	1802	996
639	1805	993
640	1808	990
641	1811	987
642	1813	984
643	1816	981
644	1818	978
645	1821	975
646	1824	972
647	1827	969
648	1829	967
649	1832	964
650	1835	961
651	1838	958
652	1841	956
653	1845	953
654	1848	951
655	1851	948
656	1855	945
657	1857	943
658	1860	940
659	1863	937
660	1866	934
661	1869	931
662	1872	929
663	1874	926
664	1877	923
665	1880	920
666	1882	917
667	1885	914
668	1888	911
669	1891	908
670	1894	906
671	1896	903
672	1899	900
673	1902	897
674	1905	895
675	1908	892
676	1911	889
677	1913	886
678	1916	883
679	1919	880
680	1922	877
681	1925	875
682	1927	872
683	1930	869
684	1933	866
685	1936	863
686	1939	861
687	1942	858
688	1944	855
689	1947	852
690	1951	849
691	1954	847
692	1956	844
693	1959	841
694	1962	838
695	1965	835
696	1968	833
697	1970	830
698	1973	827
699	1976	824
700	1979	821
701	1982	818
702	1985	816
703	1987	813
704	1990	810
705	1993	807
706	1996	804
707	1998	801
708	2001	798
709	2003	795
710	2006	792
711	2009	790
712	2012	787
713	2015	784
714	2018	781
715	2020	778
716	2023	776
717	2026	773
718	2028	770
719	2031	767
720	2033	764
721	2036	761
722	2039	758
723	2042	756
724	2045	753
725	2048	750
726	2051	747
727	2053	744
728	2057	742
729	2060	739
730	2062	736
731	2065	733
732	2067	730
733	2070	727
734	2073	725
735	2076	722
736	2079	719
737	2082	716
738	2085	713
739	2088	711
740	2091	708
741	2093	705
742	2096	702
743	2099	699
744	2102	696
745	2104	694
746	2107	691
747	2110	688
748	2113	685
749	2115	682
750	2119	680
751	2121	677
752	2124	674
753	2127	671
754	2129	668
755	2132	665
756	2135	662
757	2138	660
758	2141	657
759	2143	654
760	2146	651
761	2149	648
762	2152	646
763	2156	643
764	2158	640
765	2161	637
766	2164	634
767	2167	632
768	2170	629
769	2172	626
770	2175	623
771	2178	620
772	2181	618
773	2184	615
774	2186	612
775	2189	609
776	2192	606
777	2195	603
778	2198	601
779	2201	598
780	2203	595
781	2206	592
782	2209	589
783	2212	587
784	2215	584
785	2218	581
786	2221	578
787	2223	575
788	2226	572
789	2229	570
790	2232	567
791	2235	564
792	2238	561
793	2240	558
794	2243	556
795	2247	553
796	2250	550
797	2253	547
798	2255	544
799	2258	542
800	2261	539
801	2264	536
802	2266	533
803	2269	530
804	2272	527
805	2275	525
806	2278	522
807	2280	519
808	2283	516
809	2285	513
810	2288	510
811	2290	507
812	2293	504
813	2295	502
814	2298	499
815	2301	496
816	2303	493
817	2306	490
818	2309	487
819	2311	484
820	2314	482
821	2316	479
822	2319	476
823	2321	473
824	2324	470
825	2327	467
826	2329	464
827	2332	461
828	2334	459
829	2337	456
830	2340	453
831	2342	450
832	2345	447
833	2348	444
834	2350	441
835	2353	439
836	2356	436
837	2358	433
838	2361	430
839	2363	427
840	2366	424
841	2369	422
842	2371	419
843	2373	416
844	2376	413
845	2379	410
846	2381	407
847	2384	404
848	2387	402
849	2390	399
850	2392	396
851	2395	393
852	2397	390
853	2400	387
854	2403	385
855	2405	382
856	2408	379
857	2410	376
858	2412	373
859	2415	370
860	2418	367
861	2420	365
862	2423	362
863	2425	359
864	2427	356
865	2430	353
866	2432	350
867	2435	347
868	2438	345
869	2440	342
870	2442	339
871	2444	336
872	2447	333
873	2449	330
874	2452	327
875	2455	325
876	2457	322
877	2459	319
878	2461	316
879	2464	313
880	2467	310
881	2469	307
882	2471	305
883	2474	302
884	2476	299
885	2479	296
886	2481	293
887	2483	290
888	2486	288
889	2488	285
890	2490	282
891	2493	279
892	2496	276
893	2498	273
894	2500	271
895	2502	268
896	2505	265
897	2507	262
898	2510	259
899	2513	256
900	2516	254
901	2518	251
902	2520	248
903	2523	245
904	2525	242
905	2528	239
906	2530	237
907	2533	234
908	2535	231
909	2538	228
910	2540	225
911	2543	223
912	2545	220
913	2547	217
914	2550	214
915	2552	211
916	2555	208
917	2557	206
918	2560	203
919	2562	200
920	2564	197
921	2567	194
922	2571	192
923	2574	189
924	2576	186
925	2578	183
926	2581	181
927	2583	178
928	2585	175
929	2588	172
930	2591	169
931	2593	166
932	2596	164
933	2598	161
934	2600	158
935	2603	155
936	2606	152
937	2608	150
938	2610	147
939	2613	144
940	2615	141
941	2618	138
942	2620	136
943	2622	133
944	2625	130
945	2627	127
946	2630	124
947	2632	122
948	2635	119
949	2637	116
950	2640	113
951	2642	111
952	2645	108
953	2647	105
954	2650	102
955	2652	99
956	2655	97
957	2657	94
958	2659	91
959	2662	88
960	2664	85
961	2667	83
962	2669	80
963	2672	77
964	2674	74
965	2677	72
966	2679	69
967	2682	66
968	2685	63
969	2687	60
970	2689	58
971	2692	55
972	2694	52
973	2697	49
974	2700	47
975	2702	44
976	2704	41
977	2706	38
978	2709	35
979	2711	33
980	2714	30
981	2716	27
982	2718	24
983	2721	22
984	2723	19
985	2726	16
986	2728	13
987	2731	11
988	2734	8
989	2736	5
990	2739	2
991	2741	0
